  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X

  X  9  8  7  6  5  6  7  8  9 10 11 12 13 14 15 16 17  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  8  7  6  5  4  5  6  7  8  9 10 11 12 13 14 15 16 17  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  7  6  5  4  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17  0  0  0  0  0  0  0  0  0  0  0  X

  X  6  5  4  3  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17  0  0  0  0  0  0  0  0  0  0  X

  X  5  4  3  2  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17  0  0  0  0  0  0  0  0  0  X

  X  6  5  4  3  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17  0  0  0  0  0  0  0  0  0  0  X

  X  7  6  5  4  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17  0  0  0  0  0  0  0  0  0  0  0  X

  X  8  7  6  5  4  5  6  7  8  9 10 11 12 13 14 15 16 17  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  9  8  7  6  5  6  7  8  9 10 11 12 13 14 15 16 17  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X 10  9  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  0  0  0  0  X

  X 11 10 11 12 13 14 15 16  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X 12 11 12 13 14 15 16  T  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X 13 12 13 14 15 16  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X 14 13 14 15 16  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X 15 14 15 16  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X 16 15 16  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  0 16  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  X

  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X

